Team,Goals_scored,Goals_scored/90,Goals_conceded,Goals_conceded/90,Possession(%),Clean_sheets,Shot_conversion_rate(%),Shots_on_target/90,xG,Goal_difference,xG_difference,Big_chances/90,Big_chances_missed/90,Pass(%),Accurate_passes/90,Long_balls_success(%),Accurate_long_balls/90,Crosses(%),Accurate_crosses/90,Penalty_conversion_rate(%),Penalties_won,Touches_in_opposition_box/90,Corners/90,xG_set_pieces,Set_pieces_goals,xG_conceded,Total_interceptions,Interceptions/90,Total_tackles,Tackles/90,Total_clearances,Clearances/90,Possession_won_midfield/90,Possession_won_attacking_3rd/90,xG_set_pieces_conceded,Set_pieces_goals_conceded,Penalty_goals_conceded,Penalties_conceded,Total_saves,Saves/90,Cluster
Athletic Club,43,1.1,58,1.5,48.6,6,8.2,4.5,50.7,15,8.4,0.9,0.6,80.3,328.8,43.9,23.1,21.4,5.2,83.3,6,10.9,2.4,10.7,6,42.2,349,9.2,571,15.0,808,21.3,9.3,5.6,4.7,9,3,6,104,2.7,1
Atletico Madrid,62,1.6,44,1.2,53.3,14,12.5,5.1,58.9,18,9.8,1.3,0.8,85.6,432.7,53.1,25.8,25.7,5.3,75.0,4,11.8,2.7,11.0,12,49.0,297,7.8,647,17.0,812,21.4,7.9,4.1,7.6,9,5,6,97,2.6,0
Barcelona,95,2.5,36,0.9,68.8,15,13.7,6.8,86.7,59,41.4,1.8,1.1,90.0,587.3,56.1,20.1,25.4,3.8,70.0,10,14.9,2.9,11.5,15,45.3,280,7.4,618,16.3,716,18.8,8.2,4.3,6.4,8,4,5,97,2.6,0
Celta Vigo,53,1.4,48,1.3,50.5,10,13.9,4.0,49.5,5,-0.2,1.0,0.6,86.1,428.4,48.0,22.2,21.9,2.5,100.0,8,8.3,1.6,6.3,7,49.7,274,7.2,545,14.3,914,24.1,6.8,3.1,7.6,12,6,11,113,3.0,1
Deportivo Alaves,44,1.2,56,1.5,48.0,5,9.5,4.0,46.9,12,-0.7,0.8,0.5,80.4,324.9,43.5,23.8,24.8,5.0,100.0,7,8.6,2.1,11.0,11,47.6,297,7.8,691,18.2,901,23.7,7.8,3.7,10.8,6,5,5,97,2.6,1
Elche,49,1.3,57,1.5,57.7,8,12.0,3.8,42.6,8,-20.3,0.9,0.6,85.6,426.4,46.5,24.2,25.6,4.1,80.0,5,8.5,1.6,5.8,7,62.9,310,8.2,674,17.7,864,22.7,6.9,3.3,8.0,9,6,7,119,3.1,1
Espanyol,43,1.1,55,1.4,42.3,10,9.0,4.2,48.9,12,-6.4,0.8,0.6,78.5,273.3,39.4,20.4,23.0,4.9,60.0,5,8.1,2.0,14.4,14,55.3,318,8.4,611,16.1,935,24.6,7.0,3.6,9.0,9,5,5,135,3.6,1
Getafe,32,0.8,38,1.0,40.1,12,9.1,2.8,30.6,6,-11.7,0.5,0.3,69.1,198.4,38.6,25.3,22.4,4.2,50.0,4,6.5,1.8,8.9,12,42.3,339,8.9,684,18.0,1063,28.0,7.2,3.2,8.6,10,1,4,118,3.1,1
Girona,39,1.0,55,1.4,50.7,6,9.2,4.1,48.2,16,-8.2,0.9,0.6,85.7,400.4,46.1,21.9,22.0,3.4,87.5,8,9.2,1.8,8.9,6,56.4,292,7.7,588,15.5,954,25.1,7.0,3.1,7.7,10,5,6,124,3.3,1
Levante,47,1.2,61,1.6,42.8,9,9.9,3.9,52.5,14,-8.2,1.0,0.7,79.4,282.1,43.8,23.8,26.0,4.6,33.3,6,8.8,1.8,13.7,16,60.7,332,8.7,597,15.7,1010,26.6,6.7,3.7,8.9,13,3,4,137,3.6,1
