Team Name;goals_team_match_Total;goals_team_match_Value;goals_conceded_team_match_Total;goals_conceded_team_match_Value;possession_percentage_team_Total;possession_percentage_team_Value;clean_sheet_team_Total;clean_sheet_team_Value;ontarget_scoring_att_team_Total;ontarget_scoring_att_team_Value;expected_goals_team_Total;expected_goals_team_Value;big_chance_team_Total;big_chance_team_Value;big_chance_missed_team_Total;big_chance_missed_team_Value;accurate_pass_team_Total;accurate_pass_team_Value;accurate_long_balls_team_Total;accurate_long_balls_team_Value;accurate_cross_team_Total;accurate_cross_team_Value;penalty_won_team_Total;penalty_won_team_Value;touches_in_opp_box_team_Value;corner_taken_team_Value;expected_goals_conceded_team_Total;expected_goals_conceded_team_Value;interception_team_Total;interception_team_Value;total_tackle_team_Total;total_tackle_team_Value;effective_clearance_team_Total;effective_clearance_team_Value;poss_won_att_3rd_team_Total;poss_won_att_3rd_team_Value;penalty_conceded_team_Total;penalty_conceded_team_Value;saves_team_Total;saves_team_Value
FC Koln;49;1.4;63;1.9;49;47;34;3;10.7;4.7;49;52.8;49;86;49;59;81.1;331;41.9;23.7;27.3;5.1;100;3;840;157;63;55.5;270;7.9;483;14.2;1005;29.6;535;3.2;5;7;94;2.8
Augsburg;45;1.3;61;1.8;45;44;34;5;10;4.6;45;46.7;45;76;45;46;78.9;309.1;42.3;23;23.6;4.4;66.7;6;773;157;61;63.8;290;8.5;540;15.9;984;28.9;615;3.9;6;7;106;3.1
Bayer Leverkusen;68;2;47;1.4;68;59.2;34;8;13.2;5.2;68;65.7;68;125;68;77;88.2;533.9;50.2;23.6;24.1;4.4;87.5;8;943;190;47;46.2;251;7.4;478;14.1;727;21.4;630;3.9;7;7;120;3.5
Bayern Munchen;122;3.6;36;1.1;122;67.4;34;12;18.7;8.5;122;100.7;122;166;122;92;90.2;632.3;60.8;27.4;21.2;3.4;91.7;12;1395;216;36;42;286;8.4;435;12.8;578;17;708;5.5;2;3;69;2
Borussia Dortmund;70;2.1;34;1;70;53.2;34;15;15.8;4.8;70;63.8;70;106;70;55;84.3;415.8;47.5;22.8;25.9;5.1;66.7;9;934;181;34;39.7;273;8;491;14.4;811;23.9;723;4.7;5;5;89;2.6
Borussia Monchengladbach;42;1.2;53;1.6;42;46.7;34;13;10.6;4.1;42;42.8;42;61;42;33;82.3;364;43.2;20.8;23.7;3.6;57.1;7;719;128;53;52.6;322;9.5;561;16.5;1057;31.1;597;2.6;5;5;136;4
Eintracht Frankfurt;61;1.8;65;1.9;61;55;34;7;14.9;4.6;61;45.8;61;86;61;50;84.1;418.7;45;23.6;22.7;3.4;100;6;820;159;65;50.8;317;9.3;532;15.6;875;25.7;564;3.3;3;3;100;2.9
FC Heidenheim;41;1.2;72;2.1;41;42.2;34;1;10.6;3.6;41;47.9;41;86;41;60;76.9;278.8;43.7;27.4;25;4.2;100;2;664;154;72;64.2;313;9.2;524;15.4;1105;32.5;546;2.9;5;6;115;3.4
Freiburg;51;1.5;57;1.7;51;48.1;34;6;12.2;4.2;51;49.1;51;75;51;44;81.3;330.5;44.2;23.1;27.9;4.9;83.3;6;758;140;57;48.8;292;8.6;489;14.4;944;27.8;586;2.7;0;1;102;3
Hamburger SV;40;1.2;54;1.6;40;45.4;34;6;9.6;4.6;40;41.6;40;62;40;41;80.8;315.1;43;23.9;23.3;3.7;66.7;6;675;125;54;61.4;298;8.8;510;15;1094;32.2;525;2.7;6;11;114;3.4
Hoffenheim;65;1.9;52;1.5;65;55.2;34;7;13.5;5.2;65;55.7;65;96;65;54;80.8;381.6;42.8;24.2;28.6;5.8;100;6;951;197;52;50.8;273;8;527;15.5;1040;30.6;734;5.3;5;7;97;2.9
Mainz 05;44;1.3;53;1.6;44;44;34;4;10.7;4.2;44;54.8;44;109;44;72;75.6;280.2;40.9;24.6;25.4;5.1;88.9;9;898;172;53;56.9;352;10.4;522;15.4;1037;30.5;601;3.8;2;2;116;3.4
RB Leipzig;66;1.9;47;1.4;66;53.9;34;11;12.3;6;66;67.4;66;124;66;85;84.7;426.1;46.1;21.1;27.6;4.6;33.3;3;1139;180;47;51.2;294;8.6;514;15.1;908;26.7;717;3.9;2;3;84;2.5
St. Pauli;29;0.9;60;1.8;29;44.3;34;5;8.3;3.4;29;31.1;29;56;29;42;77.9;333.4;33.5;18.1;19.5;3.4;80;5;576;161;60;57.2;315;9.3;575;16.9;957;28.1;643;3.2;3;6;125;3.7
Union Berlin;44;1.3;58;1.7;44;40.3;34;7;10.4;3.9;44;45.9;44;74;44;46;72.6;242.6;39.6;26.1;29.5;5.9;60;5;778;170;58;52.5;289;8.5;502;14.8;1079;31.7;604;2.9;6;6;93;2.7
VfB Stuttgart;71;2.1;49;1.4;71;57.8;34;11;13.7;6.1;71;60.4;71;109;71;66;84.1;434.9;45;21.8;26;5.2;71.4;7;963;193;49;51;280;8.2;485;14.3;870;25.6;693;4.3;9;10;110;3.2
Werder Bremen;37;1.1;60;1.8;37;51.2;34;6;8.3;4.1;37;41.9;37;58;37;37;82.3;395.9;46.7;26.1;24.5;4.4;75;4;794;155;60;55.9;318;9.4;582;17.1;952;28;606;4.2;6;6;113;3.3
Wolfsburg;45;1.3;69;2;45;45.2;34;2;11.1;4.2;45;48;45;88;45;58;78.8;318.5;39;21.5;26.5;4;80;5;650;151;69;61.7;303;8.9;552;16.2;1210;35.6;557;3.4;9;14;123;3.6
