Team Name;goals_team_match_Total;goals_team_match_Value;goals_conceded_team_match_Total;goals_conceded_team_match_Value;possession_percentage_team_Total;possession_percentage_team_Value;clean_sheet_team_Total;clean_sheet_team_Value;ontarget_scoring_att_team_Total;ontarget_scoring_att_team_Value;expected_goals_team_Total;expected_goals_team_Value;big_chance_team_Total;big_chance_team_Value;big_chance_missed_team_Total;big_chance_missed_team_Value;accurate_pass_team_Total;accurate_pass_team_Value;accurate_long_balls_team_Total;accurate_long_balls_team_Value;accurate_cross_team_Total;accurate_cross_team_Value;penalty_won_team_Total;penalty_won_team_Value;touches_in_opp_box_team_Value;corner_taken_team_Value;expected_goals_conceded_team_Total;expected_goals_conceded_team_Value;interception_team_Total;interception_team_Value;total_tackle_team_Total;total_tackle_team_Value;effective_clearance_team_Total;effective_clearance_team_Value;poss_won_att_3rd_team_Total;poss_won_att_3rd_team_Value;penalty_conceded_team_Total;penalty_conceded_team_Value;saves_team_Total;saves_team_Value
Athletic Club;43;1.1;58;1.5;43;48.6;38;6;8.2;4.5;43;50.7;43;80;43;51;80.3;328.8;43.9;23.1;21.4;5.2;83.3;6;978;219;58;42.2;349;9.2;571;15;808;21.3;835;5.6;3;6;104;2.7
Atletico Madrid;62;1.6;44;1.2;62;53.3;38;14;12.5;5.1;62;58.9;62;115;62;72;85.6;432.7;53.1;25.8;25.7;5.3;75;4;1060;246;44;49;297;7.8;647;17;812;21.4;711;4.1;5;6;97;2.6
Barcelona;95;2.5;36;0.9;95;68.8;38;15;13.7;6.8;95;86.7;95;161;95;96;90;587.3;56.1;20.1;25.4;3.8;70;10;1340;262;36;45.3;280;7.4;618;16.3;716;18.8;741;4.3;4;5;97;2.6
Celta Vigo;53;1.4;48;1.3;53;50.5;38;10;13.9;4;53;49.5;53;90;53;51;86.1;428.4;48;22.2;21.9;2.5;100;8;749;144;48;49.7;274;7.2;545;14.3;914;24.1;613;3.1;6;11;113;3
Deportivo Alaves;44;1.2;56;1.5;44;48;38;5;9.5;4;44;46.9;44;76;44;46;80.4;324.9;43.5;23.8;24.8;5;100;7;778;192;56;47.6;297;7.8;691;18.2;901;23.7;701;3.7;5;5;97;2.6
Elche;49;1.3;57;1.5;49;57.7;38;8;12;3.8;49;42.6;49;80;49;53;85.6;426.4;46.5;24.2;25.6;4.1;80;5;768;144;57;62.9;310;8.2;674;17.7;864;22.7;624;3.3;6;7;119;3.1
Espanyol;43;1.1;55;1.4;43;42.3;38;10;9;4.2;43;48.9;43;76;43;53;78.5;273.3;39.4;20.4;23;4.9;60;5;731;178;55;55.3;318;8.4;611;16.1;935;24.6;633;3.6;5;5;135;3.6
Getafe;32;0.8;38;1;32;40.1;38;12;9.1;2.8;32;30.6;32;48;32;23;69.1;198.4;38.6;25.3;22.4;4.2;50;4;582;163;38;42.3;339;8.9;684;18;1063;28;650;3.2;1;4;118;3.1
Girona;39;1;55;1.4;39;50.7;38;6;9.2;4.1;39;48.2;39;77;39;52;85.7;400.4;46.1;21.9;22;3.4;87.5;8;824;159;55;56.4;292;7.7;588;15.5;954;25.1;631;3.1;5;6;124;3.3
Levante;47;1.2;61;1.6;47;42.8;38;9;9.9;3.9;47;52.5;47;94;47;61;79.4;282.1;43.8;23.8;26;4.6;33.3;6;792;162;61;60.7;332;8.7;597;15.7;1010;26.6;607;3.7;3;4;137;3.6
Mallorca;47;1.2;57;1.5;47;46.9;38;6;11.4;4.2;47;43.5;47;81;47;50;81.1;321.9;45.5;26.1;26.8;5.2;71.4;7;706;140;57;62.6;272;7.2;560;14.7;1099;28.9;605;3.2;6;8;115;3
Osasuna;44;1.2;50;1.3;44;46.8;38;7;9.8;4;44;46;44;72;44;43;80.4;310.4;45.2;23.9;26.9;5.6;75;8;879;142;50;49.2;297;7.8;552;14.5;1007;26.5;655;3.7;9;9;122;3.2
Rayo Vallecano;41;1.1;44;1.2;41;53.4;38;12;7.7;4.8;41;53.2;41;101;41;68;82.2;343.2;44.9;26.8;21.3;4.3;60;5;753;216;44;49.5;315;8.3;685;18;992;26.1;744;3.3;6;8;112;2.9
Real Betis;59;1.6;48;1.3;59;50.2;38;10;10.9;4.8;59;55.6;59;92;59;54;85.1;400.2;47.9;22.6;24.4;3.6;100;3;860;171;48;46.6;342;9;657;17.3;1067;28.1;661;4.7;4;7;124;3.3
Real Madrid;77;2;35;0.9;77;59.4;38;14;11.6;6.7;77;77.9;77;118;77;73;89.7;526.4;58.2;26.6;24.4;3.7;85.7;14;1333;239;35;41.2;252;6.6;591;15.6;639;16.8;695;4.5;4;4;86;2.3
Real Oviedo;26;0.7;60;1.6;26;46.1;38;10;6.9;3.1;26;35.8;26;60;26;43;81.8;319.7;47.9;27.3;23.1;4;66.7;3;637;150;60;60;301;7.9;678;17.8;1021;26.9;630;2.8;5;7;152;4
Real Sociedad;59;1.6;61;1.6;59;51.3;38;3;12.6;4.6;59;54.4;59;101;59;67;83.1;372.7;47.4;23.1;22.8;3.9;88.9;9;820;211;61;57.7;299;7.9;678;17.8;947;24.9;712;3.8;5;5;106;2.8
Sevilla;46;1.2;60;1.6;46;51;38;6;10.5;3.6;46;39.3;46;50;46;30;81.3;329.5;45.3;24.2;26.2;4.3;83.3;6;812;182;60;57.2;326;8.6;687;18.1;924;24.3;714;3.3;9;11;100;2.6
Valencia;46;1.2;55;1.4;46;47.6;38;9;10.2;3.2;46;49.2;46;78;46;51;81.7;331.7;43.6;22.2;24;4.4;55.6;9;812;193;55;47.5;292;7.7;605;15.9;1010;26.6;647;3.9;6;8;106;2.8
Villarreal;72;1.9;46;1.2;72;44.5;38;8;15.8;4.5;72;59;72;107;72;62;83.1;340.2;46.6;21.4;25.8;3.2;100;7;945;159;46;46.2;331;8.7;655;17.2;1026;27;575;3.4;7;8;103;2.7
