Team Name;goals_team_match_Total;goals_team_match_Value;goals_conceded_team_match_Total;goals_conceded_team_match_Value;possession_percentage_team_Total;possession_percentage_team_Value;clean_sheet_team_Total;clean_sheet_team_Value;ontarget_scoring_att_team_Total;ontarget_scoring_att_team_Value;expected_goals_team_Total;expected_goals_team_Value;big_chance_team_Total;big_chance_team_Value;big_chance_missed_team_Total;big_chance_missed_team_Value;accurate_pass_team_Total;accurate_pass_team_Value;accurate_long_balls_team_Total;accurate_long_balls_team_Value;accurate_cross_team_Total;accurate_cross_team_Value;penalty_won_team_Total;penalty_won_team_Value;touches_in_opp_box_team_Value;corner_taken_team_Value;expected_goals_conceded_team_Total;expected_goals_conceded_team_Value;interception_team_Total;interception_team_Value;total_tackle_team_Total;total_tackle_team_Value;effective_clearance_team_Total;effective_clearance_team_Value;poss_won_att_3rd_team_Total;poss_won_att_3rd_team_Value;penalty_conceded_team_Total;penalty_conceded_team_Value;saves_team_Total;saves_team_Value
Angers;29;0.9;48;1.4;29;41.9;34;10;9.2;3.3;29;32.3;29;50;29;30;82.6;329;44.6;18.5;22.7;3.5;60;5;549;121;48;55.9;317;9.3;612;18;779;22.9;580;3.1;3;6;137;4
Auxerre;34;1;44;1.3;34;43.9;34;9;9.3;3.5;34;36;34;57;34;39;80.3;299.5;42.3;23;24.3;3.9;60;5;604;162;44;48.5;356;10.5;615;18.1;753;22.1;638;3.6;3;5;112;3.3
Brest;43;1.3;55;1.6;43;43.4;34;9;11.3;3.5;43;45.1;43;76;43;48;78.9;296.9;47.4;28.2;26.5;4.3;75;8;627;131;55;51;357;10.5;623;18.3;880;25.9;585;4.7;4;5;103;3
Le Havre;32;0.9;44;1.3;32;46.8;34;8;8.6;3.6;32;38.4;32;66;32;48;81;304.6;44.1;21.8;22.3;4.9;33.3;6;597;145;44;51.4;315;9.3;593;17.4;861;25.3;597;3.3;6;8;99;2.9
Lens;66;1.9;35;1;66;51.1;34;12;11.8;5.6;66;67.7;66;127;66;88;85;393.8;50.9;22.5;29.4;6.6;80;5;1045;211;35;43.7;362;10.6;637;18.7;702;20.6;763;5.3;3;6;82;2.4
Lille;52;1.5;37;1.1;52;55.8;34;13;11.3;4.6;52;55.3;52;88;52;53;85.3;423.9;54.3;24.8;24.3;4.6;87.5;8;1019;194;37;36.9;315;9.3;515;15.1;634;18.6;668;5.3;2;4;76;2.2
Lorient;48;1.4;51;1.5;48;45.4;34;7;12.5;3.9;48;45.5;48;68;48;39;84.8;362;50.9;23.7;22.7;3.6;42.9;7;649;119;51;46.5;289;8.5;465;13.7;884;26;519;3.3;4;6;83;2.4
Lyon;53;1.6;40;1.2;53;54.6;34;15;12.7;4.7;53;53.5;53;92;53;53;85.5;399.2;49.6;22.6;22.7;4.6;60;5;880;200;40;45.4;248;7.3;496;14.6;784;23.1;577;3.8;2;5;94;2.8
Marseille;63;1.9;45;1.3;63;56.9;34;9;12.3;5.7;63;61.9;63;103;63;63;88;475.8;49.3;19.8;21.4;3.7;75;8;861;176;45;47.8;277;8.1;507;14.9;630;18.5;695;4.4;5;6;89;2.6
Metz;32;0.9;76;2.2;32;48.9;34;7;9.4;3.2;32;34.9;32;46;32;26;85.9;387.9;51.6;27.3;23.2;4.2;83.3;6;555;144;76;62.7;272;8;568;16.7;767;22.6;543;2.6;7;8;123;3.6
Monaco;60;1.8;54;1.6;60;53.7;34;7;14.1;4.4;60;57.9;60;100;60;56;83.9;403.2;46.6;19.6;22.5;3.9;85.7;7;893;172;54;50.1;354;10.4;596;17.5;704;20.7;727;5.4;4;5;94;2.8
Nantes;29;0.9;52;1.5;29;42.5;34;8;7.7;3.2;29;36.5;29;57;29;39;79.1;271.3;42;20.2;25;4;50;4;690;124;52;48.3;289;8.5;571;16.8;866;25.5;551;3.2;5;5;109;3.2
Nice;37;1.1;60;1.8;37;46.3;34;6;9.7;3.9;37;43.6;37;86;37;64;82.7;344.9;44.2;19.3;24.3;4.5;100;3;667;173;60;59.4;327;9.6;537;15.8;833;24.5;672;3.6;8;10;113;3.3
Paris FC;47;1.4;50;1.5;47;50.4;34;8;11.8;4;47;45;47;81;47;44;84.9;397.1;46.7;23.9;24;3.8;83.3;6;725;149;50;55.7;265;7.8;533;15.7;907;26.7;578;3.6;8;12;86;2.5
Paris Saint-Germain;74;2.2;29;0.9;74;68.8;34;18;12.3;6.7;74;72.1;74;125;74;78;91.2;659.7;62.8;26.9;26.4;4;62.5;8;1215;216;29;31.9;247;7.3;506;14.9;467;13.7;754;5.8;1;4;77;2.3
Rennes;59;1.7;50;1.5;59;53.5;34;10;12.3;5;59;54;59;81;59;40;84.7;404.1;46;20.2;21;4.1;83.3;6;832;204;50;53;297;8.7;549;16.1;752;22.1;646;4.8;4;6;95;2.8
Strasbourg;58;1.7;47;1.4;58;53.8;34;9;14.9;4.6;58;54.2;58;103;58;60;88;456.4;50;16.9;26.5;4.3;85.7;7;768;144;47;46;263;7.7;549;16.1;687;20.2;642;4.2;4;5;110;3.2
Toulouse;47;1.4;46;1.4;47;42.2;34;10;11;4.2;47;43.7;47;64;47;34;81.6;298.9;45.6;18.9;26.1;3.8;57.1;7;832;149;46;43.3;315;9.3;545;16;788;23.2;670;4.6;5;5;86;2.5
