Team Name;goals_team_match_Total;goals_team_match_Value;goals_conceded_team_match_Total;goals_conceded_team_match_Value;possession_percentage_team_Total;possession_percentage_team_Value;clean_sheet_team_Total;clean_sheet_team_Value;ontarget_scoring_att_team_Total;ontarget_scoring_att_team_Value;expected_goals_team_Total;expected_goals_team_Value;big_chance_team_Total;big_chance_team_Value;big_chance_missed_team_Total;big_chance_missed_team_Value;accurate_pass_team_Total;accurate_pass_team_Value;accurate_long_balls_team_Total;accurate_long_balls_team_Value;accurate_cross_team_Total;accurate_cross_team_Value;penalty_won_team_Total;penalty_won_team_Value;touches_in_opp_box_team_Value;corner_taken_team_Value;expected_goals_conceded_team_Total;expected_goals_conceded_team_Value;interception_team_Total;interception_team_Value;total_tackle_team_Total;total_tackle_team_Value;effective_clearance_team_Total;effective_clearance_team_Value;poss_won_att_3rd_team_Total;poss_won_att_3rd_team_Value;penalty_conceded_team_Total;penalty_conceded_team_Value;saves_team_Total;saves_team_Value
AFC Bournemouth;58;1.5;54;1.4;58;50.1;38;11;11.1;4.7;58;61.9;58;89;58;54;80.1;331.4;37.7;20;18.2;3.5;83.3;6;950;212;54;56.8;366;9.6;654;17.2;1173;30.9;752;4.6;6;6;109;2.9
Arsenal;71;1.9;27;0.7;71;56.2;38;19;12.8;4.9;71;65.6;71;116;71;78;84.2;396.7;41;18.4;24.1;4.3;100;4;1255;216;27;28.3;269;7.1;602;15.8;903;23.8;729;4.7;;;62;1.6
Aston Villa;56;1.5;49;1.3;56;53.6;38;9;11.6;4.5;56;48.2;56;87;56;61;85.3;384.6;46.6;19.8;22.4;3.6;;;981;199;49;53.9;238;6.3;587;15.4;798;21;594;3.4;1;2;114;3
Brentford;55;1.4;52;1.4;55;47.6;38;10;13.6;3.9;55;60.3;55;114;55;69;79.2;313.2;40.5;23.4;26.8;4.8;80;10;944;182;52;54.4;331;8.7;554;14.6;1111;29.2;737;3.1;5;8;111;2.9
Brighton & Hove Albion;52;1.4;46;1.2;52;54.1;38;10;10.5;4.6;52;57.9;52;88;52;56;83.9;400.3;43.4;20.4;26.8;5.1;60;5;1074;185;46;49.1;322;8.5;676;17.8;895;23.6;780;5.1;5;6;106;2.8
Burnley;38;1;75;2;38;42.3;38;4;10.7;3.1;38;32.5;38;55;38;33;79.1;304.4;38.3;21.3;21.2;2.9;100;2;650;138;75;75.4;343;9;637;16.8;1142;30.1;606;2.8;7;8;137;3.6
Chelsea;58;1.5;52;1.4;58;57.7;38;9;11.4;4.4;58;66.5;58;102;58;57;87.2;471.2;45;20.4;20.9;3.7;87.5;8;1005;226;52;52.3;371;9.8;592;15.6;833;21.9;710;3.6;2;2;106;2.8
Crystal Palace;41;1.1;51;1.3;41;45.9;38;12;9.3;3.7;41;58.2;41;98;41;66;78.2;306.9;36.6;20;23.3;3.7;100;8;905;159;51;51.9;314;8.3;705;18.6;1279;33.7;691;3.1;5;7;109;2.9
Everton;47;1.2;50;1.3;47;43.7;38;11;11.1;3.7;47;46.7;47;71;47;42;79.7;303.6;40.5;21.4;22.8;4.1;100;2;894;168;50;56.5;311;8.2;702;18.5;1131;29.8;678;4;3;4;100;2.6
Fulham;47;1.2;51;1.3;47;51.7;38;9;9.7;3.7;47;48.4;47;61;47;37;83.9;397.8;45.2;21.7;25.3;4.6;100;5;951;187;51;53.3;326;8.6;650;17.1;1010;26.6;669;2.5;3;4;98;2.6
Leeds United;49;1.3;56;1.5;49;45.8;38;8;10.3;4;49;54.2;49;89;49;57;79.4;314.1;39.3;20.6;26.5;4.8;75;8;899;168;56;55.7;340;8.9;661;17.4;1158;30.5;663;4.1;6;6;101;2.7
Liverpool;63;1.7;53;1.4;63;59.3;38;10;10.7;4.6;63;61.3;63;100;63;64;85.7;455.4;45.3;21;22.1;4.4;50;2;1278;232;53;47.4;264;6.9;494;13;959;25.2;705;4.1;3;4;100;2.6
Manchester City;77;2;35;0.9;77;60.5;38;16;13;5.4;77;71.3;77;120;77;74;88.5;520.4;50.3;19.4;26.8;4.4;75;4;1409;244;35;44.2;302;7.9;547;14.4;820;21.6;738;4.6;1;2;92;2.4
Manchester United;69;1.8;50;1.3;69;51.8;38;8;11.6;5.7;69;65.5;69;109;69;68;82.9;385.8;45.9;22.8;27.3;4.6;66.7;6;1047;181;50;48.6;325;8.6;693;18.2;949;25;770;3.4;4;4;92;2.4
Newcastle United;53;1.4;55;1.4;53;52.6;38;8;10.8;4.6;53;57.1;53;90;53;59;83.2;374.3;43.2;20.7;21.6;5;100;6;990;230;55;51.3;277;7.3;550;14.5;1002;26.4;731;3.7;5;5;114;3
Nottingham Forest;48;1.3;51;1.3;48;46.8;38;9;10.1;4.1;48;46;48;69;48;39;82.1;335.2;42.6;21.8;21.2;4.6;100;3;844;198;51;57.3;302;7.9;644;16.9;973;25.6;664;3.8;5;6;109;2.9
Sunderland;42;1.1;48;1.3;42;44.9;38;11;10.6;3.4;42;38.9;42;64;42;42;79.3;297.5;38.4;20;19;3.1;80;5;764;138;48;54.4;299;7.9;585;15.4;1159;30.5;591;3.1;2;3;119;3.1
Tottenham Hotspur;48;1.3;57;1.5;48;50.4;38;9;11;3.8;48;40;48;71;48;45;81.6;337.6;40.8;20;24.2;4.9;;;924;209;57;52.3;319;8.4;743;19.6;1010;26.6;710;3.9;3;3;93;2.4
West Ham United;46;1.2;65;1.7;46;42.5;38;7;11.4;3.7;46;46.1;46;72;46;46;78.8;289.9;38;20.2;21.9;3.7;100;3;771;187;65;59.6;347;9.1;671;17.7;1102;29;583;3.3;6;7;132;3.5
Wolverhampton Wanderers;27;0.7;68;1.8;27;42.7;38;4;7.3;3.2;27;35.5;27;54;27;36;79.5;289;40.8;21.1;28.4;5.2;60;5;756;129;68;59.5;324;8.5;724;19.1;1100;28.9;604;2.6;5;5;111;2.9
