Team Name;goals_team_match_Total;goals_team_match_Value;goals_conceded_team_match_Total;goals_conceded_team_match_Value;possession_percentage_team_Total;possession_percentage_team_Value;clean_sheet_team_Total;clean_sheet_team_Value;ontarget_scoring_att_team_Total;ontarget_scoring_att_team_Value;expected_goals_team_Total;expected_goals_team_Value;big_chance_team_Total;big_chance_team_Value;big_chance_missed_team_Total;big_chance_missed_team_Value;accurate_pass_team_Total;accurate_pass_team_Value;accurate_long_balls_team_Total;accurate_long_balls_team_Value;accurate_cross_team_Total;accurate_cross_team_Value;penalty_won_team_Total;penalty_won_team_Value;touches_in_opp_box_team_Value;corner_taken_team_Value;expected_goals_conceded_team_Total;expected_goals_conceded_team_Value;interception_team_Total;interception_team_Value;total_tackle_team_Total;total_tackle_team_Value;effective_clearance_team_Total;effective_clearance_team_Value;poss_won_att_3rd_team_Total;poss_won_att_3rd_team_Value;penalty_conceded_team_Total;penalty_conceded_team_Value;saves_team_Total;saves_team_Value
Atalanta;51;1.3;36;0.9;51;55.2;38;13;9.1;4.6;51;57.9;51;93;51;67;84.8;419;50;25.7;25.2;4.7;100;3;1082;215;36;43;319;8.4;594;15.6;809;21.3;770;4;2;4;118;3.1
Bologna;49;1.3;46;1.2;49;55;38;12;10;3.8;49;44.4;49;67;49;41;83.1;368.8;49.4;30.4;26.4;4.7;71.4;7;830;170;46;45.7;279;7.3;541;14.2;848;22.3;738;3.5;4;4;92;2.4
Cagliari;40;1.1;53;1.4;40;45.6;38;8;9.6;3.5;40;38.3;40;68;40;38;81.3;320.5;42.1;20.2;25.5;3.7;100;2;617;144;53;53.1;328;8.6;611;16.1;959;25.2;579;1.9;2;2;122;3.2
Como;65;1.7;29;0.8;65;61.6;38;19;11.8;5.1;65;61.9;65;99;65;59;87.4;460.9;50.5;20.2;26.6;4.3;62.5;8;978;170;29;33.9;263;6.9;624;16.4;727;19.1;700;3.5;5;6;88;2.3
Cremonese;32;0.8;57;1.5;32;46.4;38;11;9.3;3.3;32;35.7;32;57;32;31;79.1;305;39.3;22.9;20.4;3.7;100;4;522;133;57;57.8;262;6.9;544;14.3;1042;27.4;553;2.3;4;6;140;3.7
Fiorentina;41;1.1;50;1.3;41;51;38;10;8.4;3.4;41;53.1;41;77;41;54;84.5;357.7;44.8;21;22.4;4.3;100;6;828;169;50;49.9;271;7.1;466;12.3;834;21.9;624;2.6;5;6;127;3.3
Genoa;41;1.1;51;1.3;41;48.7;38;9;9.4;3.8;41;45.4;41;73;41;46;80.5;311.9;41.9;21;26.3;4.4;55.6;9;679;140;51;48.6;274;7.2;659;17.3;968;25.5;632;4.2;7;7;111;2.9
Hellas Verona;25;0.7;61;1.6;25;40.2;38;6;5.9;3.7;25;35.6;25;49;25;37;75.3;248.1;36;19.4;24.3;3.8;100;3;642;150;61;50.8;388;10.2;715;18.8;1111;29.2;694;2.9;2;5;99;2.6
Inter;89;2.3;35;0.9;89;59.7;38;18;13.7;6;89;72.2;89;147;89;91;87.7;480.2;53;22.9;29.5;6.8;83.3;6;1294;241;35;34.6;243;6.4;579;15.2;676;17.8;711;4.7;4;4;76;2
Juventus;61;1.6;34;0.9;61;57.5;38;16;9.6;6;61;68.9;61;108;61;68;86.6;450.9;53.6;23.8;23.9;4.7;40;5;1308;206;34;33;245;6.4;610;16.1;634;16.7;734;4.9;1;3;74;1.9
Lazio;41;1.1;40;1.1;41;50.3;38;15;9.8;4.1;41;43.3;41;72;41;48;86.6;426;53.3;23;24.8;3.3;80;5;729;142;40;47.7;295;7.8;481;12.7;746;19.6;627;2.7;3;5;120;3.2
Lecce;28;0.7;50;1.3;28;41.6;38;10;7.5;2.6;28;31.6;28;51;28;33;75;240.9;39;22.7;23.1;3.9;50;2;628;163;50;58.2;263;6.9;675;17.8;1125;29.6;721;3.6;4;6;110;2.9
Milan;53;1.4;35;0.9;53;51.9;38;15;10.5;4.4;53;60.3;53;100;53;65;87.3;422.4;54.3;22.5;29.9;5.1;77.8;9;1002;162;35;44.3;244;6.4;550;14.5;814;21.4;603;3.5;5;8;112;2.9
Napoli;58;1.5;36;0.9;58;58.9;38;15;11.6;4.7;58;51.4;58;76;58;42;87.2;485.6;46.7;19.1;22.6;4;80;5;933;208;36;38.4;233;6.1;462;12.2;627;16.5;755;3.7;7;10;77;2
Parma;28;0.7;46;1.2;28;44;38;13;6.9;2.7;28;32;28;55;28;37;80.7;291.8;43.5;21.3;22.3;3.8;100;2;594;146;46;56.8;260;6.8;530;13.9;949;25;535;2.7;5;6;115;3
Pisa;26;0.7;71;1.9;26;40.2;38;5;7.1;2.8;26;39.8;26;67;26;51;77.2;252.3;43.9;23.8;26.1;4.5;85.7;7;687;135;71;59.5;343;9;623;16.4;992;26.1;656;3.1;5;6;108;2.8
Roma;59;1.6;31;0.8;59;56.3;38;18;11.7;4.7;59;55;59;83;59;44;83.8;409.1;45.1;22.8;24.4;4.5;71.4;7;1037;196;31;39.3;357;9.4;574;15.1;825;21.7;827;4.4;1;1;107;2.8
Sassuolo;46;1.2;50;1.3;46;46.1;38;8;11.4;3.7;46;42.9;46;77;46;47;83.1;333.4;43.6;20.9;28.6;3.4;50;4;735;143;50;56.1;313;8.2;518;13.6;962;25.3;568;2.6;5;6;134;3.5
Torino;44;1.2;63;1.7;44;44.2;38;12;9.8;4;44;45.8;44;78;44;50;80;300.1;45.3;25;24.5;4.3;71.4;7;748;146;63;54;309;8.1;610;16.1;1008;26.5;640;3.2;4;4;106;2.8
Udinese;45;1.2;48;1.3;45;45.6;38;11;10.3;3.8;45;42.2;45;70;45;40;81.1;300.1;45.4;22.8;22;3.3;100;5;777;170;48;53;310;8.2;577;15.2;1058;27.8;646;3.1;6;7;98;2.6
