Team Name,goals_team_match_Total,goals_team_match_Value,goals_conceded_team_match_Total,goals_conceded_team_match_Value,possession_percentage_team_Total,possession_percentage_team_Value,clean_sheet_team_Total,clean_sheet_team_Value,ontarget_scoring_att_team_Total_x,ontarget_scoring_att_team_Value_x,expected_goals_team_Total,expected_goals_team_Value,_xg_diff_team_Total,_xg_diff_team_Value,ontarget_scoring_att_team_Total_y,ontarget_scoring_att_team_Value_y,big_chance_team_Total,big_chance_team_Value,big_chance_missed_team_Total,big_chance_missed_team_Value,accurate_pass_team_Total,accurate_pass_team_Value,accurate_long_balls_team_Total,accurate_long_balls_team_Value,accurate_cross_team_Total,accurate_cross_team_Value,penalty_won_team_Total,penalty_won_team_Value,touches_in_opp_box_team_Value,corner_taken_team_Value,_set_piece_goals_team_Total,_set_piece_goals_team_Value,expected_goals_conceded_team_Total,expected_goals_conceded_team_Value,interception_team_Total,interception_team_Value,total_tackle_team_Total,total_tackle_team_Value,effective_clearance_team_Total,effective_clearance_team_Value,poss_won_att_3rd_team_Total,poss_won_att_3rd_team_Value,_set_piece_goals_conceded_team_Total,_set_piece_goals_conceded_team_Value,penalty_conceded_team_Total,penalty_conceded_team_Value,saves_team_Total,saves_team_Value,fk_foul_lost_team_Total,fk_foul_lost_team_Value,total_yel_card_team_Total,total_yel_card_team_Value,total_red_card_team_Total,total_red_card_team_Value
Athletic Club,43,1.1,58,1.5,43,48.6,38,6.0,82,4.5,43,50.7,15,8.4,82,4.5,43,80.0,43,51.0,803,328.8,439,23.1,214,5.2,833,6.0,978.0,219.0,107,6.0,58,42.2,349,9.2,571,15.0,808,21.3,835,5.6,47,9.0,3,6.0,104,2.7,73,13.7,7,73.0,73,7.0
Atletico Madrid,62,1.6,44,1.2,62,53.3,38,14.0,125,5.1,62,58.9,18,9.8,125,5.1,62,115.0,62,72.0,856,432.7,531,25.8,257,5.3,750,4.0,,246.0,110,12.0,44,49.0,297,7.8,647,17.0,812,21.4,711,4.1,76,9.0,5,6.0,97,2.6,77,11.2,5,77.0,77,5.0
Barcelona,95,2.5,36,0.9,95,68.8,38,15.0,137,6.8,95,86.7,59,41.4,137,6.8,95,161.0,95,96.0,900,587.3,561,20.1,254,3.8,700,10.0,,262.0,115,15.0,36,45.3,280,7.4,618,16.3,716,18.8,741,4.3,64,8.0,4,5.0,97,2.6,59,9.5,2,59.0,59,2.0
Celta Vigo,53,1.4,48,1.3,53,50.5,38,10.0,139,4.0,53,49.5,5,-0.2,139,4.0,53,90.0,53,51.0,861,428.4,480,22.2,219,2.5,1000,8.0,749.0,144.0,63,7.0,48,49.7,274,7.2,545,14.3,914,24.1,613,3.1,76,12.0,6,11.0,113,3.0,71,11.7,1,71.0,71,1.0
Deportivo Alaves,44,1.2,56,1.5,44,48.0,38,5.0,95,4.0,44,46.9,12,-0.7,95,4.0,44,76.0,44,46.0,804,324.9,435,23.8,248,5.0,1000,7.0,778.0,192.0,110,11.0,56,47.6,297,7.8,691,18.2,901,23.7,701,3.7,108,6.0,5,5.0,97,2.6,86,14.9,5,86.0,86,5.0
Elche,49,1.3,57,1.5,49,57.7,38,8.0,120,3.8,49,42.6,8,-20.3,120,3.8,49,80.0,49,53.0,856,426.4,465,24.2,256,4.1,800,5.0,768.0,144.0,58,7.0,57,62.9,310,8.2,674,17.7,864,22.7,624,3.3,80,9.0,6,7.0,119,3.1,77,13.3,7,77.0,77,7.0
Espanyol,43,1.1,55,1.4,43,42.3,38,10.0,90,4.2,43,48.9,12,-6.4,90,4.2,43,76.0,43,53.0,785,273.3,394,20.4,230,4.9,600,5.0,731.0,178.0,144,14.0,55,55.3,318,8.4,611,16.1,935,24.6,633,3.6,90,9.0,5,5.0,135,3.6,85,13.8,5,85.0,85,5.0
Getafe,32,0.8,38,1.0,32,40.1,38,12.0,91,2.8,32,30.6,6,-11.7,91,2.8,32,48.0,32,23.0,691,198.4,386,25.3,224,4.2,500,4.0,582.0,163.0,89,12.0,38,42.3,339,8.9,684,18.0,1063,28.0,650,3.2,86,10.0,1,4.0,118,3.1,103,15.2,8,103.0,103,8.0
Girona,39,1.0,55,1.4,39,50.7,38,6.0,92,4.1,39,48.2,16,-8.2,92,4.1,39,77.0,39,52.0,857,400.4,461,21.9,220,3.4,875,8.0,824.0,159.0,89,6.0,55,56.4,292,7.7,588,15.5,954,25.1,631,3.1,77,10.0,5,6.0,124,3.3,76,10.7,7,76.0,76,7.0
Levante,47,1.2,61,1.6,47,42.8,38,9.0,99,3.9,47,52.5,14,-8.2,99,3.9,47,94.0,47,61.0,794,282.1,438,23.8,260,4.6,333,6.0,792.0,162.0,137,16.0,61,60.7,332,8.7,597,15.7,1010,26.6,607,3.7,89,13.0,3,4.0,137,3.6,84,12.3,5,84.0,84,5.0
Mallorca,47,1.2,57,1.5,47,46.9,38,6.0,114,4.2,47,43.5,10,-19.1,114,4.2,47,81.0,47,50.0,811,321.9,455,26.1,268,5.2,714,7.0,706.0,140.0,77,8.0,57,62.6,272,7.2,560,14.7,1099,28.9,605,3.2,122,11.0,6,8.0,115,3.0,79,12.3,5,79.0,79,5.0
Osasuna,44,1.2,50,1.3,44,46.8,38,7.0,98,4.0,44,46.0,6,-3.3,98,4.0,44,72.0,44,43.0,804,310.4,452,23.9,269,5.6,750,8.0,879.0,142.0,120,15.0,50,49.2,297,7.8,552,14.5,1007,26.5,655,3.7,82,8.0,9,9.0,122,3.2,91,13.5,7,91.0,91,7.0
Rayo Vallecano,41,1.1,44,1.2,41,53.4,38,12.0,77,4.8,41,53.2,3,3.8,77,4.8,41,101.0,41,68.0,822,343.2,449,26.8,213,4.3,600,5.0,753.0,216.0,98,7.0,44,49.5,315,8.3,685,18.0,992,26.1,744,3.3,75,10.0,6,8.0,112,2.9,97,13.5,9,97.0,97,9.0
Real Betis,59,1.6,48,1.3,59,50.2,38,10.0,109,4.8,59,55.6,11,9.0,109,4.8,59,92.0,59,54.0,851,400.2,479,22.6,244,3.6,1000,3.0,860.0,171.0,95,9.0,48,46.6,342,9.0,657,17.3,1067,28.1,661,4.7,67,10.0,4,7.0,124,3.3,72,10.6,2,72.0,72,2.0
Real Madrid,77,2.0,35,0.9,77,59.4,38,14.0,116,6.7,77,77.9,42,36.8,116,6.7,77,118.0,77,73.0,897,526.4,582,26.6,244,3.7,857,14.0,,239.0,153,13.0,35,41.2,252,6.6,591,15.6,639,16.8,695,4.5,51,5.0,4,4.0,86,2.3,68,10.0,7,68.0,68,7.0
Real Oviedo,26,0.7,60,1.6,26,46.1,38,10.0,69,3.1,26,35.8,34,-24.2,69,3.1,26,60.0,26,43.0,818,319.7,479,27.3,231,4.0,667,3.0,637.0,150.0,96,10.0,60,60.0,301,7.9,678,17.8,1021,26.9,630,2.8,97,15.0,5,7.0,152,4.0,73,12.5,10,73.0,73,10.0
Real Sociedad,59,1.6,61,1.6,59,51.3,38,3.0,126,4.6,59,54.4,2,-3.3,126,4.6,59,101.0,59,67.0,831,372.7,474,23.1,228,3.9,889,9.0,820.0,211.0,120,9.0,61,57.7,299,7.9,678,17.8,947,24.9,712,3.8,103,17.0,5,5.0,106,2.8,88,14.2,4,88.0,88,4.0
