League,Team,Performance_Axis,Game_Control_Axis,Average_salary(€m),Cluster_Label,Goals_scored/90,xG/90,Goals_conceded/90,xG_conceded/90,Shot_conversion_rate(%),Big_chances_conversion rate,Possession(%),Pass/90,Long_balls/90,Crosses/90,Clearances/90,Possession_won_midfield/90,Possession_won_attacking_3rd/90,Touches_in_opposition_box/90,Tackles/90,Interceptions/90,Saves/90
England,AFC Bournemouth,0.342605548265262,-0.2812750668435227,3.024925,Cluster 2,1.5,1.6,1.4,1.5,11.1,39.13043478260869,50.1,413.73283395755305,53.050397877984075,19.23076923076923,30.9,19.8,4.6,25.0,17.2,9.6,2.9
England,Arsenal,3.085402610256756,3.162704737822152,9.726956,Cluster 1,1.9,1.7,0.7,0.7,12.8,32.258064516129025,56.2,471.1401425178147,44.878048780487795,17.84232365145228,23.8,19.2,4.7,33.0,15.8,7.1,1.6
England,Aston Villa,-0.03503730909118442,0.8840434976592915,6.290071,Cluster 3,1.5,1.3,1.3,1.4,11.6,30.43478260869564,53.6,450.8792497069168,42.48927038626609,16.071428571428573,21.0,15.6,3.4,25.8,15.4,6.3,3.0
England,Brentford,0.9432926225202976,-0.9501017276771908,2.787092,Cluster 0,1.4,1.6,1.4,1.4,13.6,40.0,47.6,395.45454545454544,57.77777777777777,17.91044776119403,29.2,19.4,3.1,24.8,14.6,8.7,2.9
England,Brighton & Hove Albion,0.3472311309568602,1.8854596850545435,2.500578,Cluster 2,1.4,1.5,1.2,1.3,10.5,34.78260869565217,54.1,477.1156138259833,47.004608294930875,19.029850746268654,23.6,20.5,5.1,28.3,17.8,8.5,2.8
England,Burnley,-2.8681758556993953,-3.3284645787766087,2.759024,Cluster 0,1.0,0.9,2.0,2.0,10.7,35.71428571428571,42.3,384.82932996207336,55.61357702349869,13.679245283018869,30.1,15.9,2.8,17.1,16.8,9.0,3.6
England,Chelsea,1.0477293960548877,1.6064428637696633,7.2528,Cluster 2,1.5,1.8,1.4,1.4,11.4,44.44444444444445,57.7,540.3669724770642,45.33333333333333,17.703349282296653,21.9,18.7,3.6,26.4,15.6,9.8,2.8
England,Crystal Palace,-0.5230965647060778,-1.9122519137268763,3.704376,Cluster 0,1.1,1.5,1.3,1.4,9.3,34.61538461538461,45.9,392.4552429667519,54.64480874316939,15.879828326180258,33.7,18.2,3.1,23.8,18.6,8.3,2.9
England,Everton,-0.2685074706718983,-1.1496630774903502,3.906282,Cluster 0,1.2,1.2,1.3,1.5,11.1,42.10526315789473,43.7,380.92848180677544,52.8395061728395,17.982456140350877,29.8,17.8,4.0,23.5,18.5,8.2,2.6
England,Fulham,-0.4665542564242861,-0.12805772878772664,4.344614,Cluster 3,1.2,1.3,1.3,1.4,9.7,37.5,51.7,474.1358760429082,48.00884955752212,18.18181818181818,26.6,17.6,2.5,25.0,17.1,8.6,2.6
